trial,objective,gap,elapsed,m_test_sharpe,m_train_sharpe,p_reject_pctile
0,1.5973,-0.238,0.9,1.835136,1.597292,0.5
1,1.3536,-0.312,0.9,1.666104,1.353635,0.27716
2,1.3027,-0.590,0.9,1.892164,1.302652,0.703529
3,1.5270,-0.068,0.9,1.595221,1.526961,0.541676
4,1.4359,-0.466,0.9,1.901855,1.435863,0.443007
5,1.3895,+0.176,0.9,1.213863,1.389485,0.115454
6,1.3895,+0.176,0.9,1.213863,1.389485,0.115436
7,1.3381,-0.412,0.9,1.750457,1.338117,0.042982
8,1.3783,-0.880,0.9,2.258117,1.378339,0.64097
9,1.4359,-0.466,0.9,1.901855,1.435863,0.444825
10,1.5659,-0.153,0.9,1.718622,1.565872,0.523974
11,1.4834,-0.295,0.9,1.77819,1.483416,0.015233
12,1.4250,-0.913,0.9,2.338256,1.425024,0.717733
13,1.3408,-0.578,0.9,1.91882,1.340845,0.616008
14,1.3669,-0.552,0.9,1.918584,1.366927,0.157131
15,1.3633,-0.604,0.9,1.966925,1.363263,0.386714
16,1.5729,-0.126,0.9,1.698738,1.572907,0.529792
17,1.3536,-0.324,0.9,1.677513,1.353635,0.274301
18,1.5659,-0.153,1.0,1.718622,1.565872,0.522885
19,1.3228,-0.367,0.9,1.690294,1.322815,0.293935
20,1.3389,-0.511,0.9,1.849767,1.338854,0.593628
21,1.5612,-0.344,0.9,1.905486,1.561221,0.487323
22,1.3681,-0.599,0.9,1.966925,1.368071,0.389521
23,1.4100,-0.116,0.9,1.525528,1.409967,0.570754
24,1.5264,-0.403,0.9,1.929701,1.526379,0.476347
25,1.2468,-0.975,0.9,2.222164,1.246798,0.674339
26,1.3501,-0.421,0.9,1.770681,1.350112,0.354938
27,1.5659,-0.152,0.9,1.717519,1.565872,0.516552
28,1.4468,-0.464,0.9,1.910945,1.446762,0.435412
29,1.3210,-0.325,0.9,1.645787,1.320989,0.324687
30,1.3824,-0.528,0.9,1.910133,1.382384,0.235532
31,1.4984,-0.097,0.9,1.595221,1.49843,0.548718
32,1.5858,-0.121,0.9,1.706613,1.585775,0.503851
33,1.2967,-1.040,0.9,2.336982,1.296664,0.641549
34,1.4378,-0.511,0.9,1.948317,1.437762,0.468819
35,1.2896,-0.597,0.9,1.886127,1.289557,0.415463
36,1.5659,-0.165,0.9,1.730568,1.565872,0.510257
37,1.4100,-0.116,0.9,1.525528,1.409967,0.571031
38,1.3616,-0.552,0.9,1.913324,1.361602,0.608459
39,1.2603,-1.022,0.9,2.281872,1.260303,0.671796
40,1.4984,-0.027,0.9,1.525528,1.49843,0.557386
41,1.5659,-0.165,0.9,1.730568,1.565872,0.513555
42,1.5659,-0.152,0.9,1.717519,1.565872,0.516677
43,1.4336,-0.513,0.9,1.946721,1.43357,0.452567
44,1.3217,-0.564,0.9,1.886127,1.321683,0.408231
45,1.3325,-0.674,0.9,2.006344,1.332453,0.739528
46,1.5397,-0.064,0.9,1.603319,1.539678,0.536834
47,1.3778,-0.495,0.9,1.873287,1.377821,0.63045
48,1.4137,-0.286,0.9,1.699431,1.413698,0.58326
49,1.5973,-0.238,0.9,1.835136,1.597292,0.499668
50,1.3501,-0.421,0.9,1.770681,1.350112,0.35687
51,1.5795,-0.298,0.9,1.87731,1.579481,0.490074
52,1.5612,-0.344,0.9,1.905486,1.561221,0.488282
53,1.4595,-0.451,0.9,1.910945,1.459549,0.437586
54,1.5612,-0.344,0.9,1.905486,1.561221,0.487555
55,1.4984,-0.097,0.9,1.595221,1.49843,0.548703
56,1.4378,-0.509,0.9,1.946721,1.437762,0.464222
57,1.3032,-0.583,0.9,1.886127,1.303187,0.413511
